コントロールカラム,商品管理番号（商品URL）,商品番号,商品名,倉庫指定,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名
"","awfm-n2d_1712_e","RAK-AWFA","カラーラ【送料無料】【公式】","1","",""
"","awfm-n2d_1712_f","RAK-AWFB","カラーラ【送料無料】【公式】","1","",""
"","awfm-nbs","AWFMNB0R","【送料無料！】カラーラ 使いこなしセット<br>ノンフライヤー【カラーラ】<br>電気フライヤー　ノンオイルフライヤー　ホームベーカリー　グリル　オーブン　マルチクッカー","0","",""
"","awfm-pfc","AWFMPF0R","【送料無料！】カラーラ パーフェクトセット<br>ノンフライヤー【カラーラ】<br>電気フライヤー　ノンオイルフライヤー　ホームベーカリー　グリル　オーブン　マルチクッカー","0","",""
"","awfm-used","US-AAWFM","【中古】【送料無料】カラーラ<br>ノンフライヤー【カラーラ】<br>","1","",""
"","awfm-used2","US-AWFMB","【中古】【送料無料】カラーラ<br>ノンフライヤー【カラーラ】<br>","0","",""
"","awfm_1612","","カラーラ 特別セット<br>ノンフライヤー【カラーラ】<br>","1","",""
"","awfm_1712_t","RAK-AWFA","カラーラ【送料無料】【公式】","1","",""
"","awfm_bh17","FK-10AWF","カラーラ　　bh_1710","1","",""
"","awfm_ma1","USAWFTAR","【モッタイナイ市】【新品同様】カラーラ 正規品","1","",""
"","awfm_mb1","USAWFTBR","【モッタイナイ市】【特価良品】カラーラ 正規品","1","",""
"","bb0-pre0","BB0-WEDX","BAILA BAILA（バイラバイラ） セロ 4枚組セット<br>","1","",""
"","bb_bh17","FK-NBBBX","BBブラシ　　bh_1710","1","",""
"","bdydtsbs"," ","【送料無料】キマロ　ニューボディーシェイパー<br>トップ＋ボトムの上下セットが2セット<br>合計4枚セット【ショップジャパン】<br>","1","トップ × ボトム","2色"
"","bfl-xxxx","BFL-XXXX","ビューティフル・ラブ<br>【ショップジャパン】<br>","1","",""
"","bgv-case","BGV-NSSC","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョン 専用ケース【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","0","",""
"","bgv-en1","BGV-NGR1","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョン 安心ギフトセット【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","1","",""
"","bgv-en2","BGV-NGR2","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョン 安心ギフトセット 2本目無料セット【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","1","",""
"","bgv-led","BGV-NLED","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョン LEDライト【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","0","",""
"","bgv-ma1","USBGVTAW","【モッタイナイ市】【新品同様】ビッグビジョン 正規品<br>","1","",""
"","bgv-mb1","USBGVTBW","【モッタイナイ市】【特価良品】ビッグビジョン 正規品<br>","1","",""
"","bgv-net1","BGV-SC01","【正規品！！】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョンベーシック 便利な専用ケース付【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","1","",""
"","bgv-net2","BGV-SC02","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョンベーシック 便利な専用ケース付 2本目無料セット【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","1","",""
"","bgv-net3","BGV-NET3","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョン デラックス【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","0","",""
"","bgv-net4","BGV-NET4","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョン デラックス 2本目無料セット【ビックビジョン】【メガネ】【ルーペ】<br>","0","",""
"","bgv-ngf2","BGV-NGF2","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョン ギフト 2本目無料セット【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","1","",""
"","bgv-rah-net2","BGV2-RAH","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョンベーシック 便利な専用ケース付 2本目無料セット + 楽ちんヒアリング【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","1","",""
"","bgv-rah-tan1","BGV1-RAH","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョンベーシック 便利な専用ケース付 + 楽ちんヒアリング【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","1","",""
"","bgv-soft1","BGV-NSP1","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョン ソフトプレミアム【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","0","",""
"","bgv-soft2","BGV-NSP2","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョン ソフトプレミアム 2本目無料セット【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","0","",""
"","bgv-tan1","BGV-NET1","【正規品！！】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョンベーシック単品【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】【ココロにお届け】<br>","0","",""
"","bgv-tan2","BGV-NET2","【正規品】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョンベーシック単品 2本目無料セット【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】【ココロにお届け】<br>","0","",""
"","bgv-trd1","BGV-NTR1","【正規品！！】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョン トレンディ 単品【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","0","",""
"","bgv-trd2","BGV-NTR2","【正規品！！】【ショップジャパン】【大きく見える拡大鏡】<br>ビッグビジョン トレンディ 2本目無料セット【ビックビジョン】【メガネ】【ルーペ】【おおきくみえる】<br>","0","",""
"","bkw","BKW-NETX","ボクワ DVD4枚セット<br> 【発汗 エクササイズ【正規品】【ショップジャパン】<br>","1","",""
"","bkw_out17","FK-BKWOU","ボクワ DVD4枚セット【アウトレット】1710","1","",""
"","blb-xxxx","BLB-XXXX","数量限定残りわずか！<br>【送料無料】バランスボール 55cm<br>","1","",""
"","bns-nhcx","BNS-NHCX","【送料無料】ブレインネティックス（今回送料無料＋ウォータークロック付き！）<br>","1","",""
"","btb","","【正規品】ベターブレラ<br>逆さま傘 雨の日に超便利グッズ 濡れない傘 濡らさない傘 逆さまの傘 98cm 男女兼用 傘 おしゃれ","0","ベターブレラ","カラー"
"","btf","BTF-RY1X","ヒルズダイエット ビューティーフローズン(70g×3袋)【ショップジャパン】【半身浴】【お風呂】【Beauty FROZEN】<br>","1","",""
"","btw","BTW-NXXX","バンサイ ウェーブ<br> 【正規品】【ショップジャパン】【バンサイウェーブ】<br>","0","",""
"","cafes_bh17","FK-CAFES","シェイクタイム　カフェスタイル　　bh_1710","1","",""
"","cafes_out17","FK-CAFES","シェイクタイム　カフェスタイル【アウトレット】1710","1","",""
"","cart_custom_test","","テスト","0","",""
"","cas-hfn-","CAS-HFN-","【正規品】カシスの雫<br>アントシアニン量がブルーベリーの4倍すごい！<br>【カシス】【ショップジャパン】<br>","1","",""
"","cbu-air","","【正規品】【ショップジャパン】<br>Cabeau/カブー エアー エボリューション<br>旅行枕 ネックピロー 飛行機","0","エアー エボリューション","カラー"
"","cbu-cl","","【正規品】【ショップジャパン】<br>Cabeau/カブー エボリューション クール<br>旅行枕 ネックピロー 飛行機","0","エボリューション クール","カラー"
"","cbu-mk","CBU-MASK","【正規品】【ショップジャパン】<br>Cabeau/カブー　ミッドナイトマジック スリープマスク<br>旅行枕 ネックピロー 飛行機","0","",""
"","cbu-pr","","【正規品】【ショップジャパン】<br>Cabeau/カブー エボリューション ピロー<br>旅行枕 ネックピロー 飛行機","0","エボリューション ピロー","カラー"
"","cellopillow","TRSF-KCE","【正規品】トゥルースリーパー セロ ピロー<br>","1","",""
"","cft-sm","","【正規品】チルファクター　スラッシーメーカー【ショップジャパン】<br>","1","チルファクタースラッシーメーカー","カラー"
"","chg","","チェアジム<br> 【正規品】【ショップジャパン】【チェアジム】<br>","0","チェアジム","カラー"
"","chg-nban","CHG-NBAN","チェアジム レベル２ 負荷バンド<br> 【正規品】【ショップジャパン】【チェアジム レベル２ 負荷バンド】<br>","0","",""
"","chg-ntws","CHG-NTWS","チェアジム ツイスター<br> 【正規品】【ショップジャパン】【チェアジム ツイスター】<br>","0","",""
"","chgbx_out_1709","FK-CHGBX","チェアジム(ブラック)【アウトレット】1709","1","",""
"","chgrx_out_1709","FK-CHGRD","チェアジム(レッド)【アウトレット】1711","1","",""
"","cib","CIB-BK01","【送料無料】クリック イット ベルト ブラック　ショップジャパン（SHOPJAPAN） 窮屈なベルトにさよなら！ 1日中、ジャストフィット！","0","",""
"","copy-hpj-r","","【正規品】ヒルズダイエット <br>パステルゼリープラス<br>オリジナルボックス・セカンドボックス各単品（１箱15食入）<br>【ダイエット食品】【ショップジャパン】<br>","1","ボックス名","単品"
"","crf","CRF-8980","【ワケありセール】セラフィット フライパンセット<br>【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-1029","","レビュー記載で6,980円相当の特典付き！<br>セラフィット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit<br>","1","レビュー記載のお約束で特典GET"," "
"","crf-20tn","CRF-20TN","公式／セラフィット 20cmフライパンと両手なべセット<br>39日間返品保証！<br>【フライパン／ショップジャパン／SHOPJAPAN／ワンダーコア／ワンダーコアスマート／スレンダートーン／セラフィット】","1","",""
"","crf-20yk","CRF-20YK","セラフィット フライパン 20cm【単品】<br>【フライパン】【正規品】【ショップジャパン（SHOPJAPAN）】【すべーる】【スベール】【cerafit】<br>","0","",""
"","crf-24tn","CRF-24TN","公式／セラフィット 24cmフライパンと両手なべセット<br>39日間返品保証！<br>【フライパン／ショップジャパン／SHOPJAPAN／ワンダーコア／ワンダーコアスマート／スレンダートーン／セラフィット】","1","",""
"","crf-24yk","CRF-24YK","セラフィット フライパン 24cm【単品】<br>【フライパン】【正規品】【ショップジャパン（SHOPJAPAN）】【すべーる】【スベール】【cerafit】<br>","1","",""
"","crf-28tn","CRF-28TN","公式／セラフィット 28cmフライパンと両手なべセット<br>39日間返品保証！<br>【フライパン／ショップジャパン／SHOPJAPAN／ワンダーコア／ワンダーコアスマート／スレンダートーン／セラフィット】","1","",""
"","crf-28yk","CRF-28YK","セラフィット フライパン 28cm【単品】<br>【フライパン】【正規品】【ショップジャパン（SHOPJAPAN）】【すべーる】【スベール】【cerafit】<br>","0","",""
"","crf-3d02","CRF-3D02","送料無料＋5,980円相当特典付き！<br>セラフィット 今だけポイント5倍！<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit<br>","1","",""
"","crf-3ds5","CRF-3DS5","【送料あり】セラフィット【ショップジャパン】【正規品】<br>","1","",""
"","crf-7rn2","CRF-CF02","セラフィット フライパンなべセット！<br>90日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-cffk","CRF-CFFK","200万枚突破！特典(5,980円相当)付き＆送料無料！<br>セラフィット 片手鍋セット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】(期間限定！：9/28(月)9:59まで)","1","",""
"","crf-cffr","CRF-CFFR","200万枚突破！特典(5,980円相当)付き＆送料無料！<br>セラフィット 両手鍋セット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】(期間限定！：9/28(月)9:59まで)","1","",""
"","crf-cfpt","CRF-CF04","セラフィット 使いこなしセット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","0","",""
"","crf-cfwn","CRF-CFWN","200万枚突破！特典(5,980円相当)付き＆送料無料！<br>セラフィット ダブル鍋セット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】(期間限定！：9/28(月)9:59まで)","1","",""
"","crf-fnabe","CRF-CF02","セラフィット フライパンなべセット！<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-frnb","CRF-9900","公式／セラフィット フライパンなべセット 90日間返品保証は当店だけ！【スベール】【すべーる】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","0","",""
"","crf-frnb_1219","RAK-CRFD","【楽天×ショップジャパンSALE】セラフィット　フライパンなべセット【送料無料】","1","",""
"","crf-frnb_1219a","RAK-CRFD","【楽天×ショップジャパンSALE】セラフィット　フライパンなべセット【送料無料】","1","",""
"","crf-frnb_deal","CRF-CF02","公式／セラフィット フライパンなべセット 90日間返品保証は当店だけ！【スベール】【すべーる】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-hngk","CRF-03PP","セラフィット パーフェクトセット<br>90日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-kats","150519CRF-3DK2","セラフィット 片手鍋セット【送料無料】<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】<br>","1","",""
"","crf-knabe"," ","セラフィット 片手鍋セット 送料無料＆2大特典付！<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】【北斗晶】【織田信成】","1","セラフィット","カラー"
"","crf-nabe","CRF-CF04","セラフィット 使いこなしセット<br>90日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-nabe-non","","セラフィット トータルセット<br>","1","",""
"","crf-nabs","150519CRF-3NR2","セラフィット 鍋セット【送料無料】<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】<br>","1","",""
"","crf-nfst","CRF-NFST","鍋ふたスタンド<br>【鍋フタ】【スタンド】【ショップジャパン（SHOPJAPAN）】<br>","0","",""
"","crf-nsxx","CRF-NSXX","ミラクルブレード　セラミックナイフセット","1","",""
"","crf-pers-ss","CRF-CFPT","セラフィット パーフェクトセット<br>","1","",""
"","crf-rakt","CRF-RAKT","楽たまクッキングセット<br>【ショップジャパン（SHOPJAPAN）】<br>","0","",""
"","crf-rakt1","CRF-RAKT","楽たまクッキングセット","0","",""
"","crf-rcpn","CRF-RCAR","セラフィット ごちそうBOOK<br>【フライパン】【正規品】【ショップジャパン（SHOPJAPAN）】【すべーる】【スベール】【cerafit】<br>","0","",""
"","crf-rfyp","CRF-RFYP","今なら2大特典付き、先行予約受付中！<br>セラフィット デラックス（限定色ルビーレッド）<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-rkbt","CRF-RKBT","今なら2大特典付き、先行予約受付中！<br>セラフィット デラックス 片手鍋セット（限定色ルビーレッド）<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-rknb","CRF-RKNB","先行予約受付中！<br>セラフィット デラックス 片手鍋（限定色ルビーレッド）<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】<br>","1","",""
"","crf-rrbt","CRF-RRBT","今なら2大特典付き、先行予約受付中！<br>セラフィット デラックス 両手鍋セット（限定色ルビーレッド）<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-rrnb","CRF-RRNB","先行予約受付中！<br>セラフィット デラックス 両手鍋（限定色ルビーレッド）<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-rwbt","CRF-RWBT","今なら2大特典付き、先行予約受付中！<br>セラフィット デラックス ダブル鍋セット（限定色ルビーレッド）<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-ryos","150519CRF-3DR2","セラフィット 両手鍋セット【送料無料】<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】<br>","1","",""
"","crf-tan","150519CRF-3D02","セラフィット 【送料無料】<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】<br>","1","",""
"","crf-tanknabe","CRF-YNAR","公式／セラフィット片手鍋<br>【単品】【すべーる】【スベール】【cerafit】<br>","0","",""
"","crf-tannabe","CRF-RKAR","セラフィット片手＆両手鍋【正規品】<br>※フライパンは付きません<br>【すべーる】【スベール】【cerafit】<br>","1","",""
"","crf-tanrnabe","CRF-TNAR","セラフィット両手鍋<br>【単品】【フライパン】【正規品】【ショップジャパン（SHOPJAPAN）】【すべーる】【スベール】【cerafit】<br>","1","",""
"","crf-tgar","CRF-TGAR","セラフィット 卵焼きフライパン<br>【単品】【フライパン】【正規品】【ショップジャパン（SHOPJAPAN）】【すべーる】【スベール】【cerafit】【北斗晶】【織田信成】<br>","0","",""
"","crf-tkkn","CRF-03TT","公式 セラフィット 使いこなしセット<br>90日間返品保証は当店だけ！【スベール】【すべーる】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf-wk-set","CRFWKSET","【ワケありセール】セラフィット 使いこなしセット<br>【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","0","",""
"","crf1_1712_t","RAK-CRF1","セラフィット 使いこなしセット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf_1612","","セラフィット 特別セット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf_1612kan","","セラフィット 特別セット<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf_bh17","FK-10CRF","セラフィット　　bh_1710","1","",""
"","crf_btset","","セラフィット ベストセット","1","",""
"","crf_ma1","USCRFNAA","【モッタイナイ市】【新品同様】セラフィット フライパンなべセット 正規品","1","",""
"","crf_mb1","USCRFNBA","【モッタイナイ市】【特価良品】セラフィット フライパンなべセット 正規品","1","",""
"","crf_spe_2","CRFDXSP2","【スペシャルサンデー】セラフィット デラックス 使いこなしセット<br>【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf_sptest","","セラフィット 6,980円相当特典付！<br>39日間返品保証は当店だけ！【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crf_wake","","【ワケありセール】セラフィット デラックス<br>【フライパン】【ショップジャパン（SHOPJAPAN）】【正規品】【cerafit】","1","",""
"","crfbs","","セラフィット ベストセット<br>（セラフィット5点セット+スピードスライサー+ミラクルブレード）<br>","1","",""
"","crfd_out17","CRFDXFKR","【公式】セラフィットデラックス","1","",""
"","crfd_out17_b","CRFDXFKR","【公式】セラフィットデラックス","1","",""
"","crff","CRFF8980","【わけありセール】セラフィット フュージョン フライパンセット<br>緑のセラフィット【フライパン】【ショップジャパン】【正規品】【北斗晶さん】【すべーる】【スベール】【cerafit】","1","",""
