コントロールカラム,商品管理番号（商品URL）,代引料
"","crf_btset","0"
"","crf_ma1","0"
"","crf_mb1","0"
"","crf_spe_2","0"
"","crf_sptest","0"
"","crf_wake","0"
"","crfbs","0"
"","crfd_out17","1"
"","crfd_out17_b","1"
"","crff","0"
"","crff-99x","0"
"","crff-ada","0"
"","crff-fpn","0"
"","crff-ne4","0"
"","crff-ned","0"
"","crff-nem","0"
"","crff-ner","0"
"","crff-new","0"
"","crff-nk1","0"
"","crff-nr1","0"
"","crff-nw1","0"
"","crff-nw3","0"
"","crff-par","0"
"","crff-setb","0"
"","crff-wake","0"
"","crff_1612","0"
"","crff_1712_t","0"
"","crff_btset","0"
"","crff_ktl","0"
"","crff_ma1","0"
"","crfffrnb","0"
"","crfffrnn","0"
"","crffnabe","0"
"","crfp-000","0"
"","crfp-148","0"
"","crfp-148test","0"
"","crfp-198","0"
"","crfp-fpn","0"
"","crfp-ktn","0"
"","crfp-ryt","0"
"","crfp-sst","0"
"","crfp-tmg","0"
"","crm-ecar","1"
"","crm-ed","1"
"","crm-edt","1"
"","crm-ekic","1"
"","crm-emer","1"
"","crm-es","1"
"","crv-wkms","0"
"","crv-wktn","0"
"","crystal1","0"
"","cwp-bgsj","1"
"","cwp-nxxx","1"
"","daf","0"
"","daf-2","0"
"","daf-2-tan","0"
"","daf-tan","0"
"","deal_crfdx-nabe","0"
"","deal_crff-nabe","0"
"","deal_hpj15","1"
"","deal_hpj3","1"
"","deal_hpj30","1"
"","deal_hpj6","1"
"","deal_lgmc","1"
"","deal_smn","0"
"","deal_trs-s3dp","1"
"","double01","1"
"","double02","1"
"","double03","1"
"","double04","1"
"","drb-best","1"
"","dsbt","0"
"","dsbt_mail","0"
"","dsn","1"
"","dsn-blue","1"
"","dsn-glay","1"
"","dsn-pink","1"
"","dsn-pur","1"
"","dsn5_1712_t","1"
"","dsn_mat","1"
"","dsn_out","1"
"","dus-650n","1"
"","dus-65ns","1"
"","dus-cfw2","1"
"","dus-cfw3","1"
"","dus-cfw4","1"
"","dus-cfw5","1"
"","dus-ncab","1"
"","dus-nd65","1"
"","dus-ndim","1"
"","dus-ng65","1"
"","dus-ngog","1"
"","dus-ngui","1"
"","dus-nsti","1"
"","dus-nt65","1"
"","dus-ntan","1"
"","dus-nwwx","1"
"","dus-nxxx","1"
"","dus-set","1"
"","dus-syo3","1"
"","dus-zzzz","1"
"","ege-nhco","1"
"","ege-nhcp","1"
"","ege-o","1"
"","ege-p","1"
"","ena-1dek","1"
"","ena-net1","1"
"","ena-nets","1"
"","ena-test","1"
"","ex-matbf","1"
"","ex-sauna","0"
"","face-rrr","1"
"","fds-100","1"
"","fds-550s","1"
"","fds-b22","1"
"","fds-b3","1"
"","fds-b44","1"
"","fds-scs","1"
"","fds-set","1"
"","fdsf-dxx","1"
"","fdsv-23","1"
"","fdsv-25","1"
"","fmsp-nx2","1"
"","gdt","1"
"","gold","0"
"","gur-hf2n","1"
"","gur-hf2n-2","1"
"","gur-hf3n","1"
"","gv-ngf1","1"
"","ha-fj4s3","1"
"","ha-fj4s3-test","1"
"","ha-hot9f","1"
"","hb-jsrst","0"
"","hb-jsrst-cp","0"
"","hbc","1"
"","hd-j2s2o","1"
"","hd-j2s2o-test","1"
"","hd-j3s3s","1"
"","hd-j4s4w","1"
"","hd-j4s4w-test","1"
"","hd30_1612","1"
"","hdi-1204","1"
"","hdi-15_out","1"
"","hdi-30","1"
"","hdi-30_out","1"
"","hdi-5_out","1"
"","hdp-120m","1"
"","hdp-24m","1"
"","hdp-30ax","1"
"","hdp-48m","1"
"","hdp-72m","1"
"","hdp_bh17","1"
"","hdp_out17","1"
"","hdr","1"
"","hdr-mt2x","1"
"","hdr-mt2x-test","1"
"","hdr-mt5x","1"
"","hdr-mt5x-test","1"
"","hdr-p3dx","1"
"","hdr-p3dx-ss2","1"
"","hdr-p5dt","1"
"","hdr-p9bf","1"
"","hdst-shake","1"
"","hep","1"
"","hi-n1","1"
"","hi-n1h1s","1"
"","hi-n2","1"
"","hi-n2h2s","1"
"","hi-n3","1"
"","hi-n3h3s","1"
"","hi-n5","1"
"","hi-n5h5s","1"
"","hki-hfn-","1"
"","hlv-ncvx","1"
"","hpi30","1"
"","hpj-3rak","0"
"","hpj-l15a","1"
"","hpj-p5nx","1"
"","hpj-r","1"
"","hpt-raaa","1"
"","hr-fkr07","1"
"","hr-fkr07-test","1"
"","icm-mail","0"
"","icm-n2xx","0"
"","icm-tan","0"
"","imb_stp","0"
"","ist-atxx","0"
"","ist-djtx","0"
"","ist-dktx","0"
"","ist-dltx","0"
"","ist-dmtx","0"
"","ist-dntx","0"
"","ist-dotx","0"
"","ist-dzbx","0"
"","ist-dzdx","0"
"","ist-dztx","0"
"","ist-wake1710","0"
"","ist_1219","0"
"","ist_bh17","0"
"","ist_out17","0"
"","jrj-hfxn","1"
"","khtn_ma1","0"
"","kks-3set","0"
"","kln","1"
"","kln_1712_t","1"
"","ksj","0"
"","ksj-set1","0"
"","ktl_1219","0"
"","kts-xxx","0"
"","lef","1"
"","lgmc","1"
"","lgmc-dv0","1"
"","lgmc-gen","1"
"","lgmc-kk","1"
"","lgmc-mat","1"
"","lgmc-mnx","1"
"","lgmc-mrn","1"
"","lgmc-outlet","1"
"","lgmc-ssmat","1"
"","lgmc-total","1"
"","lgmc_1219","1"
"","lgmc_1612","1"
"","lgmc_bh17","1"
"","lgmc_out17","1"
"","lgmc_out17_b","1"
"","lgmc_rtv","1"
"","lgmcdvdx","1"
"","lgmp","1"
"","lgmp-bae","1"
"","lgmp-ban1","1"
"","lgmp-ban2","1"
"","lgmp-ban3","1"
"","lgms","1"
"","lgms-mat","1"
"","lgms-yyk","1"
"","lgmx-bks","1"
"","lgmx-dvd","1"
"","lgmx-egls","0"
"","lgmx-egls2","0"
"","lgmx-egls3","0"
"","lgmx-ets","1"
"","lgmx-ets-test","1"
"","lgmx-ex","1"
"","lgmx-ex-test","1"
"","lgmx-outlet","1"
"","lgmxpadm","1"
"","lti","0"
"","lti1214","0"
"","lti_out17","0"
"","lti_out17_b","0"
"","mbl-nctb","1"
"","mbl-ndxx","1"
"","mbl-nwbn","1"
"","mgo-hfxn","1"
"","mgo-ramm","1"
"","mgt-101","1"
"","mgt-bc","1"
"","mgt-blt","1"
"","mgt-cb2p","1"
"","mgt-egls","1"
"","mgt-egls2","1"
"","mgt-fb2p","1"
"","mgt-kok","1"
"","mgt-ktnt","1"
"","mgt-papa","1"
"","mgt-rass","1"
"","mgt-rass2","1"
"","mgt-tsu","1"
"","mgt-wset","1"
"","mgt_b","1"
"","mgt_jitan","1"
"","mgt_ma1","1"
"","mgt_mb1","1"
"","mgt_per","1"
"","mgt_raku","1"
"","mgt_t","1"
"","mgt_test","1"
"","mgt_wake_k","1"
"","mgt_wake_s","1"
"","mgt_wb","1"
"","mgtcf4pb","0"
"","mgtdb","1"
"","mgth-198","1"
"","mgth-198_1219","1"
"","mgth-3x1","1"
"","mgthbest","1"
"","mgthcros","1"
"","mgthflat","1"
"","mgthfrws","1"
"","mgtxh","1"
"","mgtxh-copy","1"
"","mgtxh-test","1"
"","mgtxh-wb","1"
"","mint-nds","1"
"","misb-1x","0"
"","misb-2x","0"
"","mnr-a---","1"
"","mnr-sb--","1"
"","mnr-sb-kago","1"
"","mnrc-b--","1"
"","mnrs-b--","1"
"","mns-aaaa","1"
"","mop","1"
"","mop-1","1"
"","mop-10401","1"
"","mop-1sptest","1"
"","mop-1test","1"
"","mop-3s","1"
"","mop-3s0401","1"
"","mop-3stest","1"
"","mop-dstr","1"
"","mop-nmfc","1"
"","mop-p","1"
"","mop-p6","1"
"","mop-p9","1"
"","mop-pro_1612","0"
"","mop-sss","1"
"","mop-tray","1"
"","mop-vsnx","1"
"","mop-vsnx0401","1"
"","mop-vsnxtest","1"
"","mop_1612","1"
"","mxc","0"
"","ncd-nxxx","0"
"","ncdm","0"
"","ncdm_1712_a","0"
"","ncdm_1712_b","0"
"","ncdm_1712_c","0"
"","ncdm_1712_d","0"
"","ncdm_1712_e","0"
"","ncdm_1712_t","0"
"","ncdm_set","0"
"","ncdp","0"
"","nemuri_tan","0"
"","neopillow","1"
"","ngw","0"
"","ngw-cover","0"
"","ngw-cset","0"
"","ngw-foc","0"
"","ngw-m","0"
"","ngw-mat","0"
"","ngw-mat-m","0"
"","ngw-mat2","0"
"","ngw-rmat","0"
"","ngw-rmat_up","0"
"","ngw-smat","0"
"","ngw-tanita","0"
"","ngw_1712","0"
"","ngw_1712_a","0"
"","ngw_30m","0"
"","ngw_ma1","0"
"","ngw_mb1","0"
"","ngw_out17","0"
"","ngw_out17_b","0"
"","ngw_red","0"
"","ngwb_bh17","0"
"","ngwp_bh17","0"
"","nicb_1712_t","1"
"","nice-anc","0"
"","nice-handle","0"
"","nice-mat","0"
"","nice6nrx","0"
"","nice_ma1","0"
"","nicebrm","0"
"","nicenst","0"
"","nja-dwxx","1"
"","nja-dxx2","1"
"","nja-mc","1"
"","nja-nbld","1"
"","nja-npld","1"
"","nja-tc","1"
"","njau-recipe","0"
"","njaumner","0"
"","nmg","0"
"","nof","0"
"","nof-26","0"
"","nof-m","0"
"","nof-m-set","0"
"","nof-normal","0"
"","nof-set","0"
"","ntt-nxxx","0"
"","ntt_1612","0"
"","ntt_nsxx","0"
"","nue","0"
"","nue-a","0"
"","nue-adpt","0"
"","nue-an","0"
"","nue-an_test","0"
"","nue-b","0"
"","nue-basc-w","0"
"","nue-bsca","0"
"","nue-case","0"
"","nue-case_up","0"
"","nue-e","0"
"","nue-foot","0"
"","nue-itoset","0"
"","nue-itoset_up","0"
"","nue-rba","0"
"","nue-rbb","0"
"","nue-sp-w","0"
"","nue001","0"
"","nue_1612","0"
"","nue_test","0"
"","nueh_1712_t","1"
"","obd-net2","1"
"","okk-net1","1"
"","omk-cd","1"
"","omk-nset","1"
"","opg","1"
"","out_awfm_1707","0"
"","out_btw_1707","0"
"","out_crf_1707","0"
"","out_crv_1707","0"
"","out_mgt_1707","0"
"","out_nice_1707","0"
"","out_pus_1707","0"
"","out_sqc_1707","0"
"","out_stp_1707","0"
"","out_swcl_1707","0"
"","out_wds_1707","0"
"","out_wgtxx_1709","0"
"","outlet_nmg","0"
"","outlet_pdiprodx","0"
"","outlet_smn","0"
"","pac-1wxx","0"
"","pdiprodx","0"
"","pin-05","1"
"","pkp_set1","0"
"","pkp_set2","0"
"","psu","1"
"","psu-bdv0","0"
"","psu-fpxx","0"
"","psu-mpxx","0"
"","psu-mrn","1"
"","psu-ss","1"
"","psu-ss2","1"
"","psu-ss3","1"
"","psu_l3","1"
"","px000143","1"
"","px000144","1"
"","px000145","1"
"","px000146","1"
"","px000147","1"
"","px000152","1"
"","px000153","1"
"","px000154","1"
"","px000155","1"
"","px000156","1"
"","px000157","1"
"","px000159","1"
"","px0001ring","1"
"","rah-ans","1"
"","rah-char","1"
"","rah-ndxx","1"
"","rah-ryo","1"
"","rah_ma1","1"
"","rah_mb1","1"
"","rbt_test","0"
"","rca-2l--","1"
"","rca-ban","1"
"","rca-bbs","1"
"","rca-bcg","1"
"","rca-cn","1"
"","rca-fn","1"
"","rca-fnpp","0"
"","rca-gn","1"
"","rca-ln","1"
"","rca-mntr","1"
"","rca-npen","0"
"","rca-pn","1"
"","rca-r","1"
"","rca-set","1"
"","rca1-flf","1"
"","rca1-staf","1"
"","rca1-stbf","1"
"","rca2-flf","1"
"","rca2-staf","1"
"","rca2-stbf","1"
"","rrg-bstn","0"
"","rrg-sman","0"
"","rrg-st4n","0"
"","rst-n2xx","0"
"","rst-nxxx","0"
"","rvt-n37k","0"
"","rvt-nbag","0"
"","rvt-ndxx","0"
"","rvt-nsan","0"
"","rvt-nset","0"
"","rvt-per","0"
"","rvt-tukai","0"
"","rvt-wizh","0"
"","rvt_ma1","0"
"","rvt_mb1","0"
"","rvt_out_1709","0"
"","s2o-wake200","1"
"","s2o-wake50","1"
"","sal-e","1"
"","sale_1703_ngw01","0"
"","sale_1703_ngw02","0"
"","sale_1703_ngw03","0"
"","sale_1703_ngw04","0"
"","sale_1703_ngw05","0"
"","sale_1703_ngw06","0"
"","sale_1703_stp01","0"
"","sale_1703_stp02","0"
"","sale_1703_stp03","0"
"","sale_1703_stp04","0"
"","sale_1703_stp05","0"
"","sale_1703_wds01","0"
"","sale_1703_wds02","0"
"","sale_1703_wds03","0"
"","sale_1703_wds04","0"
"","sale_1703_wds05","0"
"","sale_1703_wds06","0"
"","sale_1703_wds07","0"
"","sale_awfm_1612","1"
"","sale_crf-cfpt","0"
"","sale_crf_1612","1"
"","sale_crff_1612","1"
"","sale_hd30_1612","1"
"","sale_hd30_1612_time_l","1"
"","sale_lgmc-total","1"
"","sale_lgmc-total01","1"
"","sale_lgmc-total02","1"
"","sale_lgmc-total_m","1"
"","sale_lgmc_1612_time_l","1"
"","sale_mop-pro_1612","1"
"","sale_ngw-mat","0"
"","sale_ntt_1612_time_1206","1"
"","sale_ntt_1612_time_l","1"
"","sale_nue_1612","1"
"","sale_nue_1612_time_l","1"
"","sale_sale_trs45_1612","1"
"","sale_srct-sen","1"
"","sale_ssp-sp_1212","1"
"","sale_swt_1612","1"
"","sale_trce-s_1612","1"
"","sale_trce-s_1612_time_l","1"
"","sale_trs-s3dp","1"
"","sale_trs-s3dp01","1"
"","sale_trs-s3dp02","1"
"","sale_trs-s3dp03","1"
"","sale_trs-s3dp04","1"
"","sale_trs-s3dp05","1"
"","sale_trs-s3dp06","1"
"","sale_trs-s3dp07","1"
"","sale_trs-s3dp08","1"
"","sale_trs-s3dp09","1"
"","sale_trs-s3dp_out","1"
"","sale_trs45_1612","1"
"","sale_trs45p_1612","1"
"","sale_trsp_1612","1"
"","sale_trsp_1612_time_l","1"
"","sale_trssf3dp","1"
"","sale_wdc","1"
"","sale_wdc-pers","1"
"","sale_wdc2","1"
"","sale_wds","0"
"","sale_wds_1612_a","1"
"","sale_wds_1612_b","1"
"","sale_wds_1612_b_time_l","1"
"","sale_wds_pers-ss","0"
"","sam-e","1"
"","sck-x3xx","1"
"","sck-xxxx","1"
"","sdb-30","1"
"","sdb-set3","1"
"","sdb-ubs0","0"
"","secx_tan","0"
"","sf-ac1ra","0"
"","sf-am3xf","0"
"","sfb","0"
"","sfb-nmat","0"
"","sfs","0"
"","sfs-2p28","1"
"","sfs-cont","1"
"","sfs-r114","1"
"","sfs-seta","0"
"","sfs_ma1","0"
"","sfs_mb1","0"
"","sim","0"
"","sim_1712","0"
"","sim_1712_a","0"
"","sim_1712_b","0"
"","sim_1712_c","0"
"","sim_1712_t","0"
"","sim_ad","0"
"","sim_d","0"
"","sim_dgb","0"
"","sim_dx","0"
"","sim_dx2","0"
"","sim_k","0"
"","sim_ld","0"
"","sim_ma1","0"
"","sim_mb1","0"
"","sim_p","0"
"","sim_plwh","0"
"","sim_s1y","0"
"","sim_s2y","0"
"","sim_t","0"
"","sim_tgl","0"
"","sim_wk","0"
"","sim_wk_ad","0"
"","sjd-3sez","1"
"","sjd-g","1"
"","sjd-ie","1"
"","sjd-n01x","1"
"","sjd-n02x","1"
"","sjd-n03x","1"
"","sjd-n04x","1"
"","sjd-n3dx","1"
"","sjd-osjs","1"
"","sjd-w","1"
"","slsm-ndv","1"
"","sltc","0"
"","sltc_1219","0"
"","sltc_copy","0"
"","sltc_pad","0"
"","sltc_pad5","0"
"","smar-danb","0"
"","smm-rak1","1"
"","smn-n222","0"
"","smn-nadp","0"
"","smn-nset","0"
"","smn-nxxx","0"
"","smn_mail","0"
"","smp","0"
"","smp-wkxx","1"
"","smp02","0"
"","snt","1"
"","soups_bh17","1"
"","soups_out17","1"
"","sp-amtxr","0"
"","sp-amtxr_1219","0"
"","sp-amtxr_ad","0"
"","sp-amtxr_bb","0"
"","sp-amtxr_copy","0"
"","sp-amtxr_test","0"
"","sp-rmtxr","0"
"","sp-sstxr","0"
"","spdw-mat","1"
"","spdw-nnb","1"
"","spmat","1"
"","spmatswb","0"
"","spr_1612kan","1"
"","spr_mail","0"
"","sprzb","0"
"","sps-dxkh","1"
"","sps-l","1"
"","sps-s","1"
"","sps-ss","1"
"","spwj-100","1"
"","spwj-ds","1"
"","spws-ofb","1"
"","sqc","0"
"","sqc-asag","0"
"","sqc-flyb","0"
"","sqc-set","0"
"","sqc-stmr","0"
"","sqm","1"
"","sqm0_1712_t","1"
"","sra","0"
"","srct-n2x","1"
"","srct-nda","1"
"","srct-nnz","1"
"","srct-np3","1"
"","srct-npc","1"
"","srct-npt","1"
"","srct-nud","1"
"","srct-sc1","1"
"","srct-sc2","1"
"","srct-sen","1"
"","srct-sey","1"
"","srct-ssset","1"
"","srct-tan","1"
"","ss-a-xxx","1"
"","ss-am-f","1"
"","ss-chrgx","1"
"","ss-ctrlr","1"
"","ss-p-xxx","1"
"","ss-r-xxx","1"
"","ss-rm-f","1"
"","ssa","1"
"","ssa-1008","1"
"","ssa-c3sx","1"
"","ssa-ndzx","1"
"","ssa-ndzx0401","1"
"","ssa-ndzxtest","1"
"","ssa-np3x","1"
"","ssa-nvzx","1"
"","ssa-nvzx0401","1"
"","ssa-nvzxtest","1"
"","ssa-p3sx","1"
"","ssa0401","1"
"","ssab-01","1"
"","ssab-nst","1"
"","ssab-nx4","1"
"","ssab-ojs","1"
"","ssap-n3p","1"
"","ssap-nbp","1"
"","ssap-ndp","1"
"","ssap-nht","0"
"","ssap-nsp","1"
"","ssap-wksp","1"
"","ssap-wktn","1"
"","ssapbost","0"
"","ssasptest","1"
"","ssatest","1"
"","ssca_100","0"
"","ssca_50","0"
"","ssp-3pdx","1"
"","ssp-atnt","1"
"","ssp-bkxx","1"
"","ssp-deluxe","1"
"","ssp-gentei","1"
"","ssp-hssp","1"
"","ssp-hsxx","1"
"","ssp-scrp","1"
"","ssp-skpd","1"
"","ssp-sp","1"
"","ssp-sp_deal","1"
"","ssp-spsptest","1"
"","ssp-ss","1"
"","ssp-ss2","1"
"","ssp-sscv","1"
"","ssp-sscvtest","1"
"","ssp-ttpd","1"
"","ssp-wake-s","1"
"","ssp-wake-t","1"
"","ssp-yyk","0"
"","ssp1202","1"
"","ssp_pad","1"
"","sspzb","0"
"","st-0aftr","1"
"","st-0amtr","1"
"","st-0cont","1"
"","st-0rftr","1"
"","st-0rmtr","1"
"","st-0smtr","1"
"","st-0sstr","1"
"","st-0sypc","1"
"","st-aft3n","1"
"","st-bexxe","1"
"","st-pvmsr","1"
"","st-r0amr","1"
"","st-r0mar","1"
"","st-r0ssr","1"
"","st-raku","1"
"","st-rft3n","1"
"","st-smt3n","1"
"","st-total","1"
"","stas-kkd","1"
"","staszb","0"
"","stcl-best","0"
"","stcl-nma","0"
"","stcl_tnp","0"
"","stcl_tnp_1219","0"
"","ste-mrn","1"
"","ste_sswm","0"
"","steaf-p0","1"
"","steam-3p","1"
"","steam-5p","1"
"","steam-pe","1"
"","steex-3p","1"
"","steex-5p","1"
"","steex-pe","1"
"","stesx-3p","1"
"","stesx-5p","1"
"","stesx-pe","1"
"","stmp","0"
"","stmp_1219","0"
"","stmp_1712_t","0"
"","stmp_best","0"
"","stmp_m3","0"
"","stmp_m30","0"
"","sto001","0"
"","sto002","0"
"","sto003","0"
"","sto004","0"
"","sto005","0"
"","sto006","0"
"","sto007","0"
"","sto008","0"
"","sto009","0"
"","sto010","0"
"","sto011","0"
"","sto012","0"
"","sto013","0"
"","sto014","0"
"","sto015","0"
"","sto016","0"
"","sto017","0"
"","stp-barab","0"
"","stp-fit0","0"
"","stp-pad3","0"
"","stp-pad3_ld","0"
"","stp-pad5","0"
"","stp-woman","0"
"","stp160805","0"
"","stp3_1712_t","0"
"","stp_b","0"
"","stp_gold1","0"
"","stp_ld","0"
"","stp_out17","0"
"","stp_out17_b","0"
"","stp_padset","0"
"","stp_rtg30cta","0"
"","stpabc30","0"
"","stpaf-30","1"
"","stpaf-50","1"
"","stpbhsb0","0"
"","stpbpat0","0"
"","stpper30","0"
"","stppf_rtg30cta","0"
"","stpsarb0","0"
"","stpwake1","0"
"","suc","1"
"","suit_1219","0"
"","swcf","0"
"","swcf-i","0"
"","swcf-nbt","0"
"","swcf-test01","0"
"","swcf-yyk","0"
"","swcf_tnp","0"
"","swcf_tnp_1219","0"
"","swcf_wk","0"
"","swcf_wk_ad","0"
"","swcl","0"
"","swcl-a","0"
"","swcl-w","0"
"","swcl_wkdb","0"
"","swcl_wktn","0"
"","swg2-b","1"
"","swg2-dset","1"
"","swg2-dtw","1"
"","swg2-syb","1"
"","swp","0"
"","swp-a","0"
"","swp-astk","0"
"","swp-n","0"
"","swp-nstk","0"
"","swp-s","0"
"","swp-wstk","0"
"","swp_ss01","0"
"","swt","0"
"","swt_1612","0"
"","swt_syo1","0"
"","swt_syo2","0"
"","syu_tan","0"
"","tas","1"
"","tbs","0"
"","tbs-d","0"
"","tbs-d-tan","0"
"","tbs-d-w","0"
"","tbs-nbrs","0"
"","tbs-w","0"
"","tcp-ta","0"
"","test-0907","1"
"","test_spec","0"
"","time_crf","0"
"","time_st-aft3n","1"
"","time_swp","0"
"","tmc-nas","0"
"","tmc-nhj","0"
"","tmc-nhz","0"
"","tmc-nta","0"
"","tmc-ntj","0"
"","tmc-ntz","0"
"","tngs","1"
"","tnt_dum","0"
"","tnt_exp","0"
"","tpbg_1712_t","1"
"","tpbi_1712_t","1"
"","tpog_1712_t","1"
"","tpoi_1712_t","1"
"","tr7p","1"
"","tr7p-c2s","1"
"","tr7p-c2w","1"
"","tr7p-cts","1"
"","tr7p-ctw","1"
"","tr7p-w","1"
"","trbp_1712_t","1"
"","trce-d","1"
"","trce-d-2","1"
"","trce-d-c2","1"
"","trce-d-cp","1"
"","trce-d-non","1"
"","trce-d_m","1"
"","trce-de-mm","1"
"","trce-de-mw","1"
"","trce-de-sm","1"
"","trce-de-ss","1"
"","trce-de-sw","1"
"","trce-de-ww","1"
"","trce-s","1"
"","trce-s-2","1"
"","trce-s-c2","1"
"","trce-s-cp","1"
"","trce-s-non","1"
"","trce-s_1612","1"
"","trce-s_m","1"
"","trce-sd","1"
"","trce-sd-2","1"
"","trce-sd-c2","1"
"","trce-sd-cp","1"
"","trce-sd-non","1"
"","trce-sd_m","1"
"","trce35_m","1"
"","trce35_s","1"
"","trce35_w","1"
"","trce_1","1"
"","trce_2","1"
"","trce_3","1"
"","trcectbm","1"
"","trcectbm_teika","1"
"","trcectbs","1"
"","trcectbs_teika","1"
"","trcectbw","1"
"","trcectbw_teika","1"
"","trcectsm","1"
"","trcectsm_teika","1"
"","trcectss","1"
"","trcectss_teika","1"
"","trcectsw","1"
"","trcectsw_teika","1"
"","trcs-c2","1"
"","trcs-c2m","1"
"","trcs-c2q","1"
"","trcs-c2s","1"
"","trcs-c2w","1"
"","trcs-cm2","1"
"","trcs-cw2","1"
"","trcs-g","1"
"","trcs-m2s","1"
"","trcs-mm","1"
"","trcs-ms","1"
"","trcs-pm","1"
"","trcs-ppm","1"
"","trcs-pps","1"
"","trcs-ppw","1"
"","trcs-ps","1"
"","trcs-pw","1"
"","trcs-qq","1"
"","trcs-sgm","1"
"","trcs-sgw","1"
"","trcs-sm","1"
"","trcs-sp","1"
"","trcs-sq","1"
"","trcs-ss","1"
"","trcs-sw","1"
"","trcs-ws","1"
"","trcs-ww","1"
"","trcs_1219a","1"
"","trcs_1219aa","1"
"","trcs_1219b","1"
"","trcs_1219bb","1"
"","trcs_1219c","1"
"","trcs_1219cc","1"
"","trcs_1219d","1"
"","trcs_1219dd","1"
"","trcs_1219e","1"
"","trcs_1219ee","1"
"","trcsspsm","1"
"","trcsspsw","1"
"","trf-disc4","1"
