項目選択肢用コントロールカラム,商品管理番号（商品URL）,選択肢タイプ,Select/Checkbox用項目名,Select/Checkbox用選択肢,項目選択肢別在庫用横軸選択肢,項目選択肢別在庫用横軸選択肢子番号,項目選択肢別在庫用縦軸選択肢,項目選択肢別在庫用縦軸選択肢子番号,項目選択肢別在庫用取り寄せ可能表示,項目選択肢別在庫用在庫数,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,タグID,画像URL
"","diane-botanical-bottle3","i","","","ボタニカルシリーズ 各種3本セット","","ダメージリペアシャンプー 3本","638-3","0","100","0","0","","","",""
"","diane-botanical-bottle3","i","","","ボタニカルシリーズ 各種3本セット","","ダメージリペアトリートメント 3本","669-3","0","100","0","0","","","",""
"","diane-botanical-bottleset","i","","","シャンプー＆トリートメントセット","","モイストシリーズ","591-607","0","100","0","0","","","",""
"","diane-botanical-bottleset","i","","","シャンプー＆トリートメントセット","","ダメージリペアシリーズ","638-645","0","97","0","0","","","",""
"","diane-botanical-refill","i","","","ボタニカル詰替","","モイストシャンプー詰替","614","0","94","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/moist_diane/4560119227614-1.jpg"
"","diane-botanical-refill","i","","","ボタニカル詰替","","モイストトリートメント詰替","621","0","97","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/moist_diane/4560119227621-1.jpg"
"","diane-botanical-refill","i","","","ボタニカル詰替","","ダメージリペアシャンプー詰替","652","0","100","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/moist_diane/4560119227652-1.jpg"
"","diane-botanical-refill","i","","","ボタニカル詰替","","ダメージリペアトリートメント詰替","669","0","100","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/moist_diane/4560119227669-1.jpg"
"","diane-botanical-refill3","i","","","ボタニカル詰替 各種３個セット","","モイストシャンプー詰替 x3","614-3","0","79","0","0","","","",""
"","diane-botanical-refill3","i","","","ボタニカル詰替 各種３個セット","","モイストトリートメント詰替x3","621-3","0","87","0","0","","","",""
"","diane-botanical-refill3","i","","","ボタニカル詰替 各種３個セット","","ダメージリペアシャンプー詰替 x3","652-3","0","93","0","0","","","",""
"","diane-botanical-refill3","i","","","ボタニカル詰替 各種３個セット","","ダメージリペアトリトメント詰替x3","669-3","0","97","0","0","","","",""
"","hmb100","s","おまけプレゼント！プレゼントをお選び下さい♪","お任せします","","","","","","","","","","","",""
"","hmb100","s","おまけプレゼント！プレゼントをお選び下さい♪","[A]オフカロ×ブラックジンジャー","","","","","","","","","","","",""
"","hmb100","s","おまけプレゼント！プレゼントをお選び下さい♪","[B]ハンドクリーム_フルーティ077","","","","","","","","","","","",""
"","hmb100","s","おまけプレゼント！プレゼントをお選び下さい♪","[C]ハンドクリーム_シトラス060","","","","","","","","","","","",""
"","hmb100","s","おまけプレゼント！プレゼントをお選び下さい♪","[D]ハンドクリーム_スウィート084","","","","","","","","","","","",""
"","hmb100","s","おまけプレゼント！プレゼントをお選び下さい♪","[E]ボディミスト_フルーティ046","","","","","","","","","","","",""
"","hmb100","s","おまけプレゼント！プレゼントをお選び下さい♪","[E]ボディミスト_シトラス015","","","","","","","","","","","",""
"","hmb100","s","おまけプレゼント！プレゼントをお選び下さい♪","[F]ボディミスト_スウィート053","","","","","","","","","","","",""
"","hmb100","s","おまけプレゼント！プレゼントをお選び下さい♪","[G]ボディミスト_ウォータリー022","","","","","","","","","","","",""
"","hmb100","s","おまけプレゼント！プレゼントをお選び下さい♪","[H]ボディミスト_シブレ039","","","","","","","","","","","",""
"","investigatingbrokendata","i","","","S","1","Red","1","0","0","0","0","","","",""
"","investigatingbrokendata","i","","","S","1","Blue","2","0","0","0","0","","","",""
"","investigatingbrokendata","i","","","m","2","Red","1","0","0","0","0","","","",""
"","investigatingbrokendata","i","","","m","2","Blue","2","0","0","0","0","","","",""
"","kitson-bodymist","i","","","80ml"," ","フルーティーフローラル","046","0","90","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/kitson/kts_mist_venice.jpg"
"","kitson-bodymist","i","","","80ml"," ","シトラスフローラル","015","0","94","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/kitson/kts_mist_malibu.jpg"
"","kitson-bodymist","i","","","80ml"," ","シプレフローラル","039","0","100","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/kitson/kts_mist_santa.jpg"
"","kitson-bodymist","i","","","80ml"," ","ウォータリーフローラル","022","0","100","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/kitson/kts_mist_ber.jpg"
"","kitson-bodymist","i","","","80ml"," ","スウィートフローラル","053","0","100","0","0","","","","https://image.rakuten.co.jp/kuroko/cabinet/item/kitson/kts_mist_holly.jpg"
"","kitson-bodymist","s","タイトルです","中身１","","","","","","","","","","","",""
"","kitson-bodymist","s","タイトルです","中身２","","","","","","","","","","","",""
"","kitson-handcream","i","","","40g","","フルーティフローラル","077","0","87","0","0","","","",""
"","kitson-handcream","i","","","40g","","シトラスフローラル","060","0","87","0","0","","","",""
"","kitson-handcream","i","","","40g","","スウィートフローラル","084","0","94","0","0","","","",""
"","newtestrakuten2","i","","","Red","1","S","1","0","0","0","0","","","",""
"","newtestrakuten2","i","","","Red","1","M","2","0","0","0","0","","","",""
"","newtestrakuten2","i","","","Blue","2","S","1","0","0","0","0","","","",""
"","newtestrakuten2","i","","","Blue","2","M","2","0","0","0","0","","","",""
"","newtestrakuten3","i","","","Red","1","S","1","0","0","0","0","","","",""
"","newtestrakuten3","i","","","Red","1","M","2","0","0","0","0","","","",""
"","newtestrakuten3","i","","","Blue","2","S","1","0","0","0","0","","","",""
"","newtestrakuten3","i","","","Blue","2","M","2","0","0","0","0","","","",""
"","newtestrakutenitem","i","","","Red","1","S","1","0","0","0","0","","","",""
"","newtestrakutenitem","i","","","Red","1","M","2","0","0","0","0","","","",""
"","newtestrakutenitem","i","","","Blue","2","S","1","0","0","0","0","","","",""
"","newtestrakutenitem","i","","","Blue","2","M","2","0","0","0","0","","","",""
"","oct21-002-add","i","","","red","1","S","1","0","0","0","0","","","",""
"","oct21-002-add","i","","","red","1","M","2","0","0","0","0","","","",""
"","oct21-002-add","i","","","blue","2","S","1","0","0","0","0","","","",""
"","oct21-002-add","i","","","blue","2","M","2","0","0","0","0","","","",""
"","skutest002","i","","","y1","1","x1","1","0","0","0","0","","","",""
"","skutest002","i","","","y2","2","x1","1","0","0","0","0","","","",""
"","skutest002","i","","","y3","3","x1","1","0","0","0","0","","","",""
"","skutest002","i","","","y4","4","x1","1","0","0","0","0","","","",""
"","test-cot21-1","i","","","bbb","1","ee","1","0","0","0","0","","","",""
"","test-cot21-1","i","","","bbb","1","ff","2","0","0","0","0","","","",""
"","test-cot21-1","i","","","ccc","2","ee","1","0","0","0","0","","","",""
"","test-cot21-1","i","","","ccc","2","ff","2","0","0","0","0","","","",""
"","testinganyproblemhere","i","","","Red","1","S","1","0","0","0","0","","","",""
"","testinganyproblemhere","i","","","Red","1","M","2","0","0","0","0","","","",""
"","testinganyproblemhere","i","","","Blue","2","S","1","0","0","0","0","","","",""
"","testinganyproblemhere","i","","","Blue","2","M","2","0","0","0","0","","","",""
"","testingcode2","i","","","Red","1","S","1","0","0","0","0","","","",""
"","testingcode2","i","","","Red","1","M","2","0","0","0","0","","","",""
"","testingcode2","i","","","Blue","2","S","1","0","0","0","0","","","",""
"","testingcode2","i","","","Blue","2","M","2","0","0","0","0","","","",""
"","testingcode3","i","","","Red","1","S","1","0","0","0","0","","","",""
"","testingcode3","i","","","Red","1","M","2","0","0","0","0","","","",""
"","testingcode3","i","","","Blue","2","S","1","0","0","0","0","","","",""
"","testingcode3","i","","","Blue","2","M","2","0","0","0","0","","","",""
"","testingdatetim","i","","","Red","1","S","1","0","1","0","0","","","",""
"","testingdatetim","i","","","Red","1","M","2","0","1","0","0","","","",""
"","testingdatetim","i","","","Blue","2","S","1","0","1","0","0","","","",""
"","testingdatetim","i","","","Blue","2","M","2","0","1","0","0","","","",""
"","testingitem4","i","","","Red","1","S","1","0","0","0","0","","","",""
"","testingitem4","i","","","Red","1","M","2","0","0","0","0","","","",""
"","testingitem4","i","","","Blue","2","S","1","0","0","0","0","","","",""
"","testingitem4","i","","","Blue","2","M","2","0","0","0","0","","","",""
"","testingrakuten0004","i","","","10","1","20","1","0","0","0","0","","","",""
"","testingrakuten0005","i","","","Nothing","1","Yesthing","1","0","0","0","0","","","",""
"","testingrakuten002","i","","","Black","1","White","1","0","0","0","0","","","",""
"","testingschedulingtask","i","","","Red","1","S","1","0","0","0","0","","","",""
"","testingschedulingtask","i","","","Red","1","M","2","0","0","0","0","","","",""
"","testingschedulingtask","i","","","Blue","2","S","1","0","0","0","0","","","",""
"","testingschedulingtask","i","","","Blue","2","M","2","0","0","0","0","","","",""
